word,rank,cefr,pos,ipa,meaning_vi,example_en,is_concrete_noun,orig_rank,sfi,freq_per_million,topic_code,topic
have,1,A1,v,/hˈæv/,có; sở hữu,I have two younger brothers.,FALSE,8,81.53,14210,HD,Hành động & chuyển động
do,2,A1,v,/dˈu/,làm; thực hiện,Please do your homework now.,FALSE,21,78.33,6802,HD,Hành động & chuyển động
say,3,A1,v,/sˈeɪ/,nói; phát biểu,She said she was tired.,FALSE,30,75.35,3425,GT,"Giao tiếp, ngôn ngữ & truyền thông"
go,4,A1,v,/ɡˈoʊ/,đi; đến,We go to school every day.,FALSE,31,75.13,3260,HD,Hành động & chuyển động
one,5,A1,num,/wˈʌn/,"một; một cái, một người",Only one student passed the test.,FALSE,35,74.77,2997,SL,"Số lượng, đo lường & kích thước"
know,6,A1,v,/nˈoʊ/,biết; quen biết,I know the answer to this question.,FALSE,41,74.21,2634,TD,"Tư duy, nhận thức & giác quan"
get,7,A1,v,/ɡˈɛt/,lấy; nhận được; trở nên,Did you get my message?,FALSE,43,74.1,2573,HD,Hành động & chuyển động
like,8,A1,v,/lˈaɪk/,thích; giống như,I like listening to music.,FALSE,45,73.92,2465,CX,"Cảm xúc, tính cách & thái độ"
when,9,A1,adv,/wˈɛn/,khi; khi nào,When did you arrive home?,FALSE,46,73.86,2435,TG,Thời gian
think,10,A1,v,/θˈɪŋk/,nghĩ; cho rằng,I think it will rain today.,FALSE,47,73.86,2433,TD,"Tư duy, nhận thức & giác quan"
make,11,A1,v,/mˈeɪk/,làm; tạo ra,He made a cake for her birthday.,FALSE,48,73.73,2359,HD,Hành động & chuyển động
time,12,A1,n,/tˈaɪm/,thời gian; lần,What time is it now?,FALSE,49,73.62,2302,TG,Thời gian
see,13,A1,v,/sˈi/,nhìn thấy; hiểu,I can see the mountains from here.,FALSE,50,73.48,2226,TD,"Tư duy, nhận thức & giác quan"
good,14,A1,adj,/ɡˈʊd/,tốt; giỏi,This is a good idea.,FALSE,56,73.09,2038,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
people,15,A1,n,/pˈipəl/,"người, mọi người",Many people came to the concert.,FALSE,57,73.05,2019,NG,Con người & cơ thể
year,16,A1,n,/jˈɪɹ/,năm,She is ten years old.,FALSE,58,72.9,1949,TG,Thời gian
take,17,A1,v,/tˈeɪk/,lấy; cầm; mất (thời gian),Take an umbrella with you.,FALSE,59,72.73,1873,HD,Hành động & chuyển động
well,18,A1,adv,/wˈɛl/,"tốt, giỏi",She sings very well.,FALSE,61,72.64,1835,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
come,19,A1,v,/kˈʌm/,đến; tới,Come here and sit down.,FALSE,65,72.29,1694,HD,Hành động & chuyển động
work,20,A1,v,/wˈɝk/,làm việc; hoạt động,I work in a small office.,FALSE,67,72.24,1674,CV,Công việc & nghề nghiệp
use,21,A1,v,/jˈus/,"dùng, sử dụng",I use a pen to write.,FALSE,68,72.19,1657,HD,Hành động & chuyển động
look,22,A1,v,/lˈʊk/,nhìn; trông có vẻ,Look at the beautiful sky.,FALSE,75,71.37,1370,TD,"Tư duy, nhận thức & giác quan"
want,23,A1,v,/wˈɑnt/,muốn,I want a cup of coffee.,FALSE,76,71.31,1354,CX,"Cảm xúc, tính cách & thái độ"
give,24,A1,v,/ɡˈɪv/,"cho, đưa, tặng",Please give me your hand.,FALSE,77,71.24,1332,HD,Hành động & chuyển động
first,25,A1,adj,/fˈɝst/,"đầu tiên, thứ nhất",This is my first day at work.,FALSE,78,71.21,1321,SL,"Số lượng, đo lường & kích thước"
new,26,A1,adj,/nˈu/,mới,I bought a new phone.,FALSE,79,71.1,1290,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
way,27,A1,n,/wˈeɪ/,cách; con đường,This is the best way to learn.,FALSE,80,71.07,1279,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
find,28,A1,v,/fˈaɪnd/,tìm thấy; nhận thấy,I can't find my keys.,FALSE,81,70.92,1236,HD,Hành động & chuyển động
after,29,A1,prep,/ˈæftɚ/,sau; sau khi,We went home after the movie.,FALSE,84,70.83,1210,TG,Thời gian
day,30,A1,n,/dˈeɪ/,ngày; ban ngày,Today is a sunny day.,FALSE,85,70.75,1187,TG,Thời gian
where,31,A1,adv,/wˈɛɹ/,ở đâu; nơi mà,Where do you live?,FALSE,86,70.75,1187,KG,"Không gian, vị trí & địa lý"
thing,32,A1,n,/θˈɪŋ/,"vật; điều, việc",Put your things on the table.,FALSE,87,70.65,1161,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
need,33,A1,v,/nˈid/,cần,I need some help with this.,FALSE,90,70.53,1129,CX,"Cảm xúc, tính cách & thái độ"
right,34,A1,adj,/ɹˈaɪt/,đúng; bên phải; quyền,You are right about that.,FALSE,92,70.47,1113,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
how,35,A1,adv,/hˈaʊ/,như thế nào; bao nhiêu,How do you make this dish?,FALSE,93,70.39,1093,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
mean,36,A1,v,/mˈin/,có nghĩa là; định,What does this word mean?,FALSE,95,70.09,1021,GT,"Giao tiếp, ngôn ngữ & truyền thông"
last,37,A1,adj,/lˈæst/,cuối cùng; vừa qua,This is the last day of school.,FALSE,101,69.62,917,TG,Thời gian
child,38,A1,n,/tʃˈaɪld/,đứa trẻ,The child is playing in the park.,FALSE,102,69.59,910,GD,Gia đình & quan hệ thân thuộc
tell,39,A1,v,/tˈɛl/,"nói, kể; bảo",Tell me the truth.,FALSE,103,69.55,901,GT,"Giao tiếp, ngôn ngữ & truyền thông"
really,40,A1,adv,/ɹˈɪli/,thật sự; rất,I really enjoyed the trip.,FALSE,104,69.4,870,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
call,41,A1,v,/kˈɔl/,gọi; gọi điện,Please call me tonight.,FALSE,105,69.39,869,GT,"Giao tiếp, ngôn ngữ & truyền thông"
before,42,A1,prep,/bɪfˈɔɹ/,trước; trước khi,Wash your hands before dinner.,FALSE,106,69.29,849,TG,Thời gian
company,43,A1,n,/kˈʌmpənˌi/,công ty,He works for a big company.,FALSE,107,69.25,842,KT,"Kinh doanh, kinh tế & tài chính"
show,44,A1,v,/ʃˈoʊ/,cho xem; chỉ ra,Let me show you the photos.,FALSE,110,69.18,827,GT,"Giao tiếp, ngôn ngữ & truyền thông"
life,45,A1,n,/lˈaɪf/,cuộc sống; đời sống,City life can be very busy.,FALSE,111,69.09,812,NG,Con người & cơ thể
man,46,A1,n,/mˈæn/,người đàn ông,The man is reading a newspaper.,FALSE,112,69.07,807,NG,Con người & cơ thể
change,47,A1,v,/tʃˈeɪndʒ/,thay đổi; đổi,We need to change our plan.,FALSE,113,69.02,799,HD,Hành động & chuyển động
place,48,A1,n,/plˈeɪs/,"nơi, chỗ",This is a nice place to relax.,FALSE,114,69,795,KG,"Không gian, vị trí & địa lý"
long,49,A1,adj,/lˈɔŋ/,dài; lâu,It was a long journey.,FALSE,115,68.98,791,SL,"Số lượng, đo lường & kích thước"
feel,50,A1,v,/fˈil/,cảm thấy,I feel tired after work.,FALSE,117,68.92,780,CX,"Cảm xúc, tính cách & thái độ"
problem,51,A1,n,/pɹˈɑbləm/,vấn đề; bài toán,We solved the problem together.,FALSE,120,68.65,733,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
write,52,A1,v,/ɹˈaɪt/,viết,She writes a letter to her friend.,FALSE,121,68.65,732,GT,"Giao tiếp, ngôn ngữ & truyền thông"
lot,53,A1,n,/lˈɑt/,nhiều (a lot),There is a lot of food here.,FALSE,123,68.54,715,SL,"Số lượng, đo lường & kích thước"
great,54,A1,adj,/ɡɹˈeɪt/,tuyệt vời; to lớn,That's a great idea!,FALSE,124,68.51,710,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
try,55,A1,v,/tɹˈaɪ/,thử; cố gắng,Try to finish your work early.,FALSE,125,68.45,699,HD,Hành động & chuyển động
leave,56,A1,v,/lˈiv/,rời đi; để lại,I leave home at seven.,FALSE,126,68.44,699,HD,Hành động & chuyển động
number,57,A1,n,/nˈʌmbɚ/,số; con số,Write your phone number here.,FALSE,127,68.44,698,SL,"Số lượng, đo lường & kích thước"
part,58,A1,n,/pˈɑɹt/,phần; bộ phận,This is the hardest part.,FALSE,130,68.4,692,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
point,59,A1,n,/pˈɔɪnt/,điểm; ý,That's a good point.,FALSE,131,68.35,684,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
little,60,A1,adj,/lˈɪtəl/,nhỏ; ít,There is a little water left.,FALSE,132,68.33,681,SL,"Số lượng, đo lường & kích thước"
help,61,A1,v,/hˈɛlp/,giúp đỡ,Can you help me carry this?,FALSE,133,68.32,680,HD,Hành động & chuyển động
ask,62,A1,v,/ˈæsk/,hỏi; yêu cầu,She asked a difficult question.,FALSE,134,68.29,675,GT,"Giao tiếp, ngôn ngữ & truyền thông"
meet,63,A1,v,/mˈit/,gặp; gặp gỡ,Let's meet at the station.,FALSE,135,68.26,671,XH,"Xã hội, cộng đồng, văn hóa & tôn giáo"
start,64,A1,v,/stˈɑɹt/,bắt đầu,The class starts at eight.,FALSE,136,68.26,669,HD,Hành động & chuyển động
talk,65,A1,v,/tˈɔk/,nói chuyện,We talked for hours.,FALSE,137,68.23,665,GT,"Giao tiếp, ngôn ngữ & truyền thông"
put,66,A1,v,/pˈʊt/,đặt; để,Put the book on the shelf.,FALSE,139,68.16,655,HD,Hành động & chuyển động
become,67,A1,v,/bɪkˈʌm/,trở thành; trở nên,She became a doctor.,FALSE,141,68.15,654,HD,Hành động & chuyển động
interest,68,A1,n,/ˈɪntɹəst/,sự quan tâm; lãi suất,He has an interest in music.,FALSE,142,68.15,653,CX,"Cảm xúc, tính cách & thái độ"
country,69,A1,n,/kˈʌntɹi/,đất nước; nông thôn,Vietnam is a beautiful country.,FALSE,143,68.15,653,KG,"Không gian, vị trí & địa lý"
old,70,A1,adj,/ˈoʊld/,già; cũ,This is a very old building.,FALSE,144,68.11,647,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
school,71,A1,n,/skˈul/,trường học,The children walk to school.,TRUE,146,68.05,638,HT,Giáo dục & học tập
late,72,A1,adj,/lˈeɪt/,muộn; trễ,"Sorry, I am late again.",FALSE,147,68.05,638,TG,Thời gian
high,73,A1,adj,/hˈaɪ/,cao,The mountain is very high.,FALSE,148,68.04,637,SL,"Số lượng, đo lường & kích thước"
different,74,A1,adj,/dˈɪfɚənt/,khác; khác nhau,Our opinions are different.,FALSE,149,68.03,636,TC,"Tính chất, đánh giá & khái niệm trừu tượng"
next,75,A1,adj,/nˈɛkst/,tiếp theo; kế bên,See you next week.,FALSE,151,67.92,620,TG,Thời gian
end,76,A1,n,/ˈɛnd/,kết thúc; đầu mút,We are near the end of the book.,FALSE,152,67.92,619,TG,Thời gian
